### ps -A
# Time: 2026-06-24 21:31:40 +1000
# Command: ps -A

USER           PID  PPID     VSZ    RSS WCHAN            ADDR S NAME                       
root           190     2       0      0 irq_thread          0 S [irq/68-20300000]
root           192     2       0      0 ion_heap_deferred_free 0 S [system]
root           194     2       0      0 irq_thread          0 S [irq/69-extcon-g]
root           196     2       0      0 rescuer_thread      0 I [ipv6_addrconf]
root           197     2       0      0 smsg_recv           0 S [sblock-5-2]
root           198     2       0      0 sblock_receive      0 S [imsbr-data[5-2]]
root           199     2       0      0 smsg_recv           0 S [sblock-5-3]
root           200     2       0      0 sblock_receive      0 S [imsbr-ctrl[5-3]]
root           205     2       0      0 smsg_recv           0 S [sipx-5-7]
root           207     2       0      0 smsg_recv           0 S [sipx-5-8]
root           208     2       0      0 smsg_recv           0 S [sipx-5-9]
root           209     2       0      0 smsg_recv           0 S [sipx-5-18]
root           210     2       0      0 smsg_recv           0 S [sipx-5-19]
root           211     2       0      0 smsg_recv           0 S [sipx-5-20]
root           212     2       0      0 smsg_recv           0 S [sipx-5-24]
root           213     2       0      0 smsg_recv           0 S [sipx-5-25]
root           214     2       0      0 smsg_recv           0 S [sipx-5-26]
root           215     2       0      0 smsg_recv           0 S [sipx-5-27]
root           216     2       0      0 smsg_recv           0 S [sipx-5-28]
root           217     2       0      0 smsg_recv           0 S [sipx-5-29]
root           218     2       0      0 smsg_recv           0 S [sipx-5-30]
root           219     2       0      0 smsg_recv           0 S [sipx-5-31]
root           220     2       0      0 mmc_queue_thread    0 S [mmcqd/0]
root           221     2       0      0 mmc_queue_thread    0 S [mmcqd/0boot0]
root           222     2       0      0 mmc_queue_thread    0 S [mmcqd/0boot1]
root           223     2       0      0 mmc_queue_thread    0 S [mmcqd/0rpmb]
root           224     2       0      0 kthread_worker_fn   0 S [sugov:0]
root           225     2       0      0 sugov_performance_fn 0 S [sugov_perf:0]
root           226     2       0      0 kthread_worker_fn   0 S [sugov:4]
root           227     2       0      0 sugov_performance_fn 0 S [sugov_perf:4]
root           228     2       0      0 sdiohal_tx_down     0 D [sdiohal_tx_thre]
root           229     2       0      0 sdiohal_rx_down     0 D [sdiohal_rx_thre]
root           230     2       0      0 pub_int_handle_thread 0 D [pub_int_handle_]
root           231     2       0      0 rescuer_thread      0 I [charger_manager]
root           232     2       0      0 rescuer_thread      0 I [headset_button]
root           233     2       0      0 rescuer_thread      0 I [headset_detect_]
root           234     2       0      0 rescuer_thread      0 I [headset_reg_dum]
root           235     2       0      0 worker_thread       0 I [kworker/u16:2]
root           238     2       0      0 worker_thread       0 I [kworker/1:1H]
root           239     2       0      0 rescuer_thread      0 I [kdmflush]
root           240     2       0      0 rescuer_thread      0 I [bioset]
root           241     2       0      0 rescuer_thread      0 I [kdmflush]
root           242     2       0      0 rescuer_thread      0 I [bioset]
root           243     2       0      0 worker_thread       0 I [kworker/0:1H]
root           244     2       0      0 kjournald2          0 S [jbd2/mmcblk0p37]
root           245     2       0      0 rescuer_thread      0 I [ext4-rsv-conver]
root           246     2       0      0 rescuer_thread      0 I [ext4-rsv-conver]
root           248     2       0      0 worker_thread       0 I [kworker/2:1H]
root           249     2       0      0 rescuer_thread      0 I [ext4-rsv-conver]
root           254     1   39596   3536 poll_schedule_timeout 0 S init
root           255     1   38828   3060 poll_schedule_timeout 0 S init
root           256     2       0      0 worker_thread       0 I [kworker/3:1H]
root           257     1   38828   4228 poll_schedule_timeout 0 S ueventd
logd           267     1  181844   4640 sigsuspend          0 S logd
system         268     1   35552   3500 binder_ioctl_write_read 0 S servicemanager
system         269     1 2139980   5332 SyS_epoll_wait      0 S hwservicemanager
system         270     1   36200   1736 binder_ioctl_write_read 0 S vndservicemanager
root           271     1   33384   1860 hrtimer_nanosleep   0 S watchdogd
root           272     2       0      0 rescuer_thread      0 I [f_mtp]
root           273     2       0      0 rescuer_thread      0 I [VserTestWq]
root           275     1  133288   6740 binder_ioctl_write_read 0 S vold
root           291     2       0      0 kjournald2          0 S [jbd2/mmcblk0p44]
root           292     2       0      0 rescuer_thread      0 I [ext4-rsv-conver]
root           297     2       0      0 kjournald2          0 S [jbd2/mmcblk0p43]
root           298     2       0      0 rescuer_thread      0 I [ext4-rsv-conver]
root           302     2       0      0 kjournald2          0 S [jbd2/mmcblk0p1-]
root           303     2       0      0 rescuer_thread      0 I [ext4-rsv-conver]
root           307     2       0      0 kjournald2          0 S [jbd2/mmcblk0p32]
root           308     2       0      0 rescuer_thread      0 I [ext4-rsv-conver]
root           311     2       0      0 rescuer_thread      0 I [ext4-rsv-conver]
root           314     2       0      0 rescuer_thread      0 I [ext4-rsv-conver]
root           318     2       0      0 rescuer_thread      0 I [pvr_timer]
root           319     2       0      0 LinuxEventObjectWait 0 S [pvr_defer_free]
root           320     2       0      0 LinuxEventObjectWait 0 S [pvr_device_wdg]
root           321     2       0      0 LinuxEventObjectWait 0 S [pvr_cacheop]
root           322     2       0      0 rescuer_thread      0 I [pvr_fce_status]
system         324     1 2136180   3848 binder_ioctl_write_read 0 S android.hardware.keymaster@4.0-unisoc.service
root           330     1 2176700   3192 binder_ioctl_write_read 0 S apexd
root           338     1  132328   4900 poll_schedule_timeout 0 S magiskd
root           343     2       0      0 worker_thread       0 I [kworker/5:1H]
root           344     2       0      0 worker_thread       0 I [kworker/4:1H]
root           422     2       0      0 worker_thread       0 I [kworker/1:1]
root          1459     2       0      0 worker_thread       0 I [kworker/0:1]
root          1578     1   33616   2352 SyS_epoll_wait      0 S zygisk-ptrace64
system        1594     1  142924   2796 sigsuspend          0 S ylog
root          1595     2       0      0 rescuer_thread      0 I [SPRDBT_RX_QUEUE]
root          1598     1   36956   2976 hrtimer_nanosleep   0 S yloglite
root          1601     1 2388864   6236 binder_ioctl_write_read 0 S netd
root          1602     1 5461356 152464 poll_schedule_timeout 0 S zygote64
root          1603     1 1771420 112984 poll_schedule_timeout 0 S zygote
root          1605  1578   33724   2676 __skb_wait_for_more_packets 0 S zygiskd64
root          1608  1578    8132   2004 __skb_wait_for_more_packets 0 S zygiskd32
system        1612     1   36092   3308 binder_ioctl_write_read 0 S android.hidl.allocator@1.0-service
system        1613     1   78816   4356 binder_ioctl_write_read 0 S android.system.suspend@1.0-service
audioserver   1614     1   38956   4076 binder_ioctl_write_read 0 S android.hardware.audio@2.0-service
bluetooth     1615     1  111444   3972 binder_ioctl_write_read 0 S android.hardware.bluetooth@1.0-service.unisoc
cameraserver  1617     1   21080   2456 binder_ioctl_write_read 0 S android.hardware.camera.provider@2.4-external-service
cameraserver  1618     1   81076   3808 binder_ioctl_write_read 0 S android.hardware.camera.provider@2.4-service
media         1619     1   15772   2224 binder_ioctl_write_read 0 S android.hardware.cas@1.1-service
system        1620     1   76292   3504 binder_ioctl_write_read 0 S android.hardware.configstore@1.1-service
system        1621     1 2136220   3464 binder_ioctl_write_read 0 S android.hardware.gatekeeper@1.0-service
system        1622     1   96268   4948 binder_ioctl_write_read 0 S android.hardware.graphics.allocator@2.0-service
system        1623     1  171652  10200 binder_ioctl_write_read 0 S android.hardware.graphics.composer@2.1-service
system        1624     1   37352   3760 SyS_epoll_wait      0 S android.hardware.health@2.0-service
system        1626     1   37212   3772 binder_ioctl_write_read 0 S android.hardware.light@2.0-service
system        1628     1   37256   3940 binder_ioctl_write_read 0 S android.hardware.memtrack@1.0-service
system        1629     1   37104   3656 binder_ioctl_write_read 0 S android.hardware.power.stats@1.0-service.mock
system        1630     1   58880   3388 binder_ioctl_write_read 0 S android.hardware.sensors@1.0-service
system        1631     1   37184   3212 binder_ioctl_write_read 0 S android.hardware.thermal@2.0-service.mock
system        1632     1   58816   3524 binder_ioctl_write_read 0 S android.hardware.usb@1.1-service
system        1633     1   37200   3812 binder_ioctl_write_read 0 S android.hardware.vibrator@1.0-service
wifi          1634     1   61772   4344 binder_ioctl_write_read 0 S android.hardware.wifi@1.0-service
audioserver   1635     1   76328   3324 binder_ioctl_write_read 0 S vendor.sprd.hardware.broadcastradio@2.0-service
system        1636     1   37272   3328 binder_ioctl_write_read 0 S vendor.sprd.hardware.connmgr@1.0-service
system        1637     1   58844   3376 binder_ioctl_write_read 0 S vendor.sprd.hardware.cplog_connmgr@1.0-service
system        1638     1   37472   3428 binder_ioctl_write_read 0 S vendor.sprd.hardware.enhance@1.0-service
system        1639     1   58804   3260 binder_ioctl_write_read 0 S vendor.sprd.hardware.log@1.0-service
system        1640     1   76244   3488 binder_ioctl_write_read 0 S vendor.sprd.hardware.network@1.0-service
root          1641     1   62496   4016 binder_ioctl_write_read 0 S vendor.sprd.hardware.power@4.0-service
system        1642     1   37508   3372 binder_ioctl_write_read 0 S vendor.sprd.hardware.thermal@1.0-service
root          1644     1   33488   2808 sigsuspend          0 S sh
system        1645     1   69276   1840 hrtimer_nanosleep   0 S gpsd
nobody        1646     1   35860   3400 binder_ioctl_write_read 0 S ashmemd
audioserver   1647     1 2445892  14236 binder_ioctl_write_read 0 S audioserver
gpu_service   1648     1 2156700   4280 binder_ioctl_write_read 0 S gpuservice
lmkd          1652     1   56308   7516 SyS_epoll_wait      0 S lmkd
root          1653     1   74780   3272 hrtimer_nanosleep   0 S performancemanager
system        1654     1  340216  20808 SyS_epoll_wait      0 S surfaceflinger
root          1658     1   18140   1592 hrtimer_nanosleep   0 S engpc
system        1659     1  141124   3508 hrtimer_nanosleep   0 S modem_control
system        1660     1   34612   1964 tipc_read_iter      0 S sprdstorageproxyd
system        1661     1   35084   2116 tipc_read_iter      0 S tsupplicant
radio         1667     1  330188   4444 binder_ioctl_write_read 0 S urild
root          1669     2       0      0 kthread_worker_fn   0 S [psimon]
root          1690  1644   64100   3600 hrtimer_nanosleep   0 S z-link
root          1704     2       0      0 worker_thread       0 I [kworker/7:1H]
root          1708     2       0      0 rescuer_thread      0 I [pvr_misr]
root          1709     2       0      0 rescuer_thread      0 I [pvr_misr]
root          1710     2       0      0 rescuer_thread      0 I [pvr_misr]
root          1725     2       0      0 worker_thread       0 I [kworker/6:2]
root          1748     2       0      0 worker_thread       0 I [kworker/6:1H]
system        1752  1594   35900   2620 SyS_epoll_wait      0 S ylogw
root          1765     1   26080   5096 do_wait             0 S gocsdk
root          1774     1   33488   2776 sigsuspend          0 S sh
cameraserver  1778     1   39068   6208 binder_ioctl_write_read 0 S cameraserver
drm           1779     1 2240976  18800 binder_ioctl_write_read 0 S drmserver
root          1785     1 2130668   2124 __skb_wait_for_more_packets 0 S ext_data
system        1788     1 2185072   7400 binder_ioctl_write_read 0 S idmap2d
root          1789     1 2131092   2552 __skb_wait_for_more_packets 0 S ims_bridged
incidentd     1790     1   76284   4160 SyS_epoll_wait      0 S incidentd
root          1793     1  130068   5752 binder_ioctl_write_read 0 S installd
root          1796     1   33488   2700 sigsuspend          0 S sh
keystore      1797     1 2160636   6324 binder_ioctl_write_read 0 S keystore
root          1798     1 2154912   3368 binder_ioctl_write_read 0 S log_service
media         1811     1   15444   3024 binder_ioctl_write_read 0 S mediadrmserver
mediaex       1816     1 270652312 17040 binder_ioctl_write_read 0 S media.extractor
root          1819  1796   34016   1784 __skb_wait_for_more_packets 0 S ip
root          1821  1796   33488   1312 pipe_wait           0 S sh
media         1823     1 2178172  10356 binder_ioctl_write_read 0 S media.metrics
root          1824  1601   33968   2536 pipe_wait           0 S iptables-restore
root          1825  1601   33976   2488 pipe_wait           0 S ip6tables-restore
media         1828     1   67272   8312 binder_ioctl_write_read 0 S mediaserver
root          1844     1    8420     80 do_wait             0 S sd_mdnsd
root          1845  1844    8420   1320 poll_schedule_timeout 0 S sd_mdnsd
root          1867     1 2213372   3488 binder_ioctl_write_read 0 S modemlog_connmgr_service
system        1869     1  103956   1840 poll_schedule_timeout 0 S slogmodem
root          1871     1 2133376   3284 binder_ioctl_write_read 0 S sprd_networkcontrol
statsd        1876     1  131332   5156 SyS_epoll_wait      0 S statsd
root          1887     2       0      0 kthread             0 D [marline_hub_thr]
root          1888     2       0      0 marlin3e_enqueue_thread 0 S [marlin3e_enqueu]
root          1889     2       0      0 rescuer_thread      0 I [marlin3e_usb_ho]
root          1890     2       0      0 kthread             0 D [marlin3e_sleep_]
root          1901     1   95144   4176 binder_ioctl_write_read 0 S storaged
wifi          1904     1   38468   4632 SyS_epoll_wait      0 S wificond
mediacodec    1906     1   32100   3784 binder_ioctl_write_read 0 S media.codec
shell         1907     1   34588   1884 __skb_wait_for_more_packets 0 S mlogservice
system        1915     1   35628   2976 __skb_wait_for_more_packets 0 S phasecheckserver
system        1926     1   89012   2916 sbuf_read           0 S refnotify
shell         1928     1   34820   2160 hrtimer_nanosleep   0 S slogmodem_vendor
system        1932     1   58088   3332 hrtimer_nanosleep   0 S srtd
system        1935     1  130152   3608 futex_wait_queue_me 0 S thermald
system        1936     1  790476   8120 binder_ioctl_write_read 0 S vendor.sprd.hardware.gnss@2.0-service
mediacodec    1943     1 270760524 10172 binder_ioctl_write_read 0 S media.swcodec
system        1944     1 2139696   4960 binder_ioctl_write_read 0 S gatekeeperd
tombstoned    1947     1   33852   1796 SyS_epoll_wait      0 S tombstoned
system        1951     1   34612   1964 tipc_read_iter      0 S sprdstorageproxyd
system        1954     1   16852   2360 hrtimer_nanosleep   0 S connmgr
root          1957     1  119148   6980 sbuf_read           0 S cp_diskserver
root          1986     1 8669748   1448 hrtimer_nanosleep   0 S sh
system        2105     1 4613016 115552 SyS_epoll_wait      0 S lspd
root          2273  1765   48372   2124 futex_wait_queue_me 0 S gocsdk
system        2289  1602 8621312 351484 SyS_epoll_wait      0 S system_server
radio         2659  1602 5903428 142292 SyS_epoll_wait      0 S com.android.phone
u0_a95        2720  1602 6182200 254692 SyS_epoll_wait      0 S com.android.systemui
network_stack 2829  1602 5009256 100880 SyS_epoll_wait      0 S com.android.networkstack
webview_zygote 2901 1602 5463460  70244 poll_schedule_timeout 0 S webview_zygote
root          2904     2       0      0 worker_thread       0 I [kworker/5:2]
system        2949  1602 5128120 100936 SyS_epoll_wait      0 S com.spreadtrum.vce
system        2998  1602 5110080 124120 SyS_epoll_wait      0 S com.android.settings
u0_a86        3039  1602 5225300 158604 SyS_epoll_wait      0 S android.ext.services
u0_a191       3117  1602 5065308 127820 SyS_epoll_wait      0 S juloo.keyboard2
u0_a73        3154  1602 5137224 106908 SyS_epoll_wait      0 S android.process.acore
u0_a132       3191  1602 6196332 312624 SyS_epoll_wait      0 S com.google.android.gms.persistent
shell         3264     1   76672   3040 poll_schedule_timeout 0 S adbd
u0_a132       3438  1602 5048612  97352 SyS_epoll_wait      0 S com.google.process.gservices
u0_a135       3468  1602 6289356 207988 SyS_epoll_wait      0 S com.google.android.googlequicksearchbox:interactor
system        3539  1602 5082532 134652 SyS_epoll_wait      0 S com.tw.service
secure_element 3591 1602 5044820  88168 SyS_epoll_wait      0 S com.android.se
system        3654  1602 5041712 121388 SyS_epoll_wait      0 S com.tw.bt
system        3687  1602 5686232  95132 SyS_epoll_wait      0 S com.tw.eq
u0_a120       3721  1602 5026168  85744 SyS_epoll_wait      0 S com.android.modemnotifier
u0_a115       3768  1602 4991136  86404 SyS_epoll_wait      0 S com.android.smspush
u0_a93        3795  1603 2162556 230616 SyS_epoll_wait      0 S com.dofun.variety
u0_a153       3920  1603 1964096 128852 SyS_epoll_wait      0 S com.zjinnova.zlink
u0_a132       3956  1602 6063432 273772 SyS_epoll_wait      0 S com.google.android.gms
u0_a132       4039  1602 5118164 102648 SyS_epoll_wait      0 S com.google.process.gapps
u0_a127       4249  1602 5209756 136508 SyS_epoll_wait      0 S com.google.android.projection.gearhead:car
system        4427  1602 5016824  96132 SyS_epoll_wait      0 S com.dofun.carsetting
u0_a87        4435  1603 1361456 162424 SyS_epoll_wait      0 S com.dofun.dofunweather.main
system        4537  1602 5010020 106240 SyS_epoll_wait      0 S com.tw.service.xt:remote
system        4561  1602 5238312 117832 SyS_epoll_wait      0 S com.tw.core
system        4574  1602 5053152  95492 SyS_epoll_wait      0 S com.abupdate.fota_demo_iot
u0_a141       4736  1602 5026408 126632 SyS_epoll_wait      0 S com.android.inputmethod.latin
root          4819     1    8188   2376 do_wait             0 S z-mdnsd
root          4830  4819    8188   1768 poll_schedule_timeout 0 S z-mdnsd
system        4889  1602 5052836 110440 SyS_epoll_wait      0 S com.tw.carinfoservice
u0_a131       4965  1602 6310364 242692 SyS_epoll_wait      0 S com.android.vending
bluetooth     5076  1602 5498228 124348 SyS_epoll_wait      0 S com.android.bluetooth
root          5138     2       0      0 worker_thread       0 I [kworker/u16:3]
root          5141     2       0      0 rescuer_thread      0 I [sprdwl_work]
root          5147     2       0      0 rescuer_thread      0 I [SPRDWL_RX_QUEUE]
root          5149     2       0      0 rescuer_thread      0 I [SPRDWL_RX_NET_Q]
root          5150     2       0      0 rescuer_thread      0 I [SPRDWL_TX_QUEUE]
root          5151     2       0      0 worker_thread       0 I [kworker/u17:1]
wifi          5157     1 2141368   8884 poll_schedule_timeout 0 S wpa_supplicant
u0_a147       5166  1602 7384040 355888 SyS_epoll_wait      0 S com.google.android.apps.maps
root          5374     2       0      0 worker_thread       0 I [kworker/3:2]
system        5581  1603 1230884  75164 SyS_epoll_wait      0 S com.ms.ms2160
u0_a132       5711  1602 5686120 222588 SyS_epoll_wait      0 S com.google.android.gms.unstable
root          5743     2       0      0 worker_thread       0 I [kworker/7:2]
u0_a90        5793  1602 5009328  89052 SyS_epoll_wait      0 S com.android.providers.calendar
system        6826  1602 5027000  90712 SyS_epoll_wait      0 S com.tw.coreservice
u0_a208       7326 22454   36268   5152 do_wait             0 S bash
u0_a208       7386  7326   67620   2448 wait_woken          0 S su
root          7390   338   33488   3320 sigsuspend          0 S sh
root          7543  1774   35964   3168 hrtimer_nanosleep   0 S sleep
root          7556  7390   33488   1620 sigsuspend          0 S sh
root          7563  7556   34344   3256 pipe_wait           0 S logcat
root          7564  7556   33260   2384 0                   0 R grep
root          7569  1644   35964   3164 hrtimer_nanosleep   0 S sleep
root          7598  7390   35964   3152 do_wait             0 S timeout
root          7599  7598   35964   3140 0                   0 R ps
root         13465     2       0      0 worker_thread       0 I [kworker/2:0]
root         15416     2       0      0 worker_thread       0 I [kworker/0:2]
root         15916     2       0      0 worker_thread       0 I [kworker/u16:4]
u0_a194      16022  1602 5295800 208236 SyS_epoll_wait      0 S com.mixplorer
u0_a194      16159 16022   32756   2412 unix_stream_read_generic 0 S su
root         16164   338   33488   3152 pipe_wait           0 S sh
u0_a192      16188  1602 5273072 147260 SyS_epoll_wait      0 S com.topjohnwu.magisk
u0_a192      16216 16188   32756   2344 unix_stream_read_generic 0 S su
root         16222   338 8669748   1624 pipe_wait           0 S libbusybox.so
root         16225 16222 4484452 119692 SyS_epoll_wait      0 S com.topjohnwu.magisk:root:0
root         16450     2       0      0 worker_thread       0 I [kworker/3:1]
u0_a193      16552  1602 6262424 219788 SyS_epoll_wait      0 S io.github.muntashirakon.AppManager
u0_a193      16597 16552   32756   2448 unix_stream_read_generic 0 S su
root         16604   338   33488   3120 pipe_wait           0 S sh
root         16610 16604   33488   1432 sigsuspend          0 S sh
root         16618 16610 4592540 132336 SyS_epoll_wait      0 S io.github.muntashirakon.AppManager:priv:0
u0_a85       17178  1602 5049812 105140 SyS_epoll_wait      0 S com.android.permissioncontroller
system       17210  1602 4975712  84452 SyS_epoll_wait      0 S com.android.packageinstaller
root         17237     2       0      0 worker_thread       0 I [kworker/u16:5]
root         17589     2       0      0 worker_thread       0 I [kworker/4:2]
root         17707     2       0      0 worker_thread       0 I [kworker/1:0]
system       18232  1602 5127016 142524 SyS_epoll_wait      0 S system:ui
u0_a175      18509  1602 5737536 271520 SyS_epoll_wait      0 S com.tw.music
u0_a129      21326  1602 5014452  93308 SyS_epoll_wait      0 S com.google.android.configupdater
u0_a208      22454  1602 5362780 181368 SyS_epoll_wait      0 S com.termux
u0_a208      22538 22454   36268   5092 poll_schedule_timeout 0 S bash
root         23110     2       0      0 worker_thread       0 I [kworker/u16:1]
u0_a131      25129  1602 5835252 200864 SyS_epoll_wait      0 S com.android.vending:background
root         28273     2       0      0 worker_thread       0 I [kworker/0:0]
u0_a95       29000  1602 5037980  99852 SyS_epoll_wait      0 S com.android.systemui:ui
u0_a159      29026  1602 5226944 166640 SyS_epoll_wait      0 S com.android.documentsui
shell        29050  1602 4974208  81492 SyS_epoll_wait      0 S com.android.shell
u0_a76       29089  1602 5132540 104376 SyS_epoll_wait      0 S android.process.media
root         29423     2       0      0 worker_thread       0 I [kworker/2:1]
root         30085     2       0      0 worker_thread       0 I [kworker/3:0]
root         30522     2       0      0 worker_thread       0 I [kworker/u16:0]

# Exit: 0
